testv3.txt opened
> offset: 193, typeID: 20, length: 148
> offset: 261, typeID: 1, length: 57
> offset: 321, typeID: 5, length: 20
> offset: 322, typeID: 20, length: 232
> offset: 344, typeID: 13, length: 112
> offset: 459, typeID: 14, length: 22
> offset: 484, typeID: 17, length: 70
> offset: 557, typeID: 19, length: 4
> offset: 595, typeID: 1, length: 57
> offset: 655, typeID: 5, length: 20
> offset: 678, typeID: 1, length: 57
> offset: 697, typeID: 4, length: 212
> offset: 738, typeID: 5, length: 20
> offset: 761, typeID: 17, length: 35
> offset: 799, typeID: 8, length: 32
> offset: 834, typeID: 2, length: 75
> offset: 888, typeID: 6, length: 21
> offset: 912, typeID: 1, length: 57
> offset: 972, typeID: 5, length: 20
> offset: 995, typeID: 1, length: 57
> offset: 1055, typeID: 5, length: 20
> offset: 1078, typeID: 17, length: 35
> offset: 1130, typeID: 1, length: 57
> offset: 1190, typeID: 5, length: 20
> offset: 1259, typeID: 3, length: 21
> offset: 1283, typeID: 1, length: 57
> offset: 1343, typeID: 5, length: 20
> offset: 1366, typeID: 17, length: 35
> offset: 1404, typeID: 1, length: 57
> offset: 1464, typeID: 3, length: 21
> offset: 1488, typeID: 5, length: 20
> offset: 1511, typeID: 1, length: 57
> offset: 1571, typeID: 5, length: 20
> offset: 1594, typeID: 17, length: 35
> offset: 1632, typeID: 1, length: 57
> offset: 1692, typeID: 5, length: 20
> offset: 1715, typeID: 1, length: 57
> offset: 1775, typeID: 3, length: 21
> offset: 1830, typeID: 5, length: 20
> offset: 1853, typeID: 17, length: 35
> offset: 1891, typeID: 1, length: 57
> offset: 1945, typeID: 254, length: 121
> offset: 1951, typeID: 5, length: 20
> offset: 1974, typeID: 1, length: 57
> offset: 2034, typeID: 8, length: 32
> offset: 2069, typeID: 5, length: 20
> offset: 2092, typeID: 17, length: 35
> offset: 2130, typeID: 1, length: 57
> offset: 2148, typeID: 10, length: 169
> offset: 2190, typeID: 5, length: 20
> offset: 2213, typeID: 1, length: 57
> offset: 2273, typeID: 3, length: 21
> offset: 2297, typeID: 5, length: 20
> offset: 2320, typeID: 17, length: 35
